CountryName,CapitalLatitude,CapitalLongitude,area,capital,currency_name,languages,population,x-coord,y-coord
Estonia,59.4333333333333,24.716667,45226.0,Tallinn,Euro,et,1291170.0,113.73148166666667,74.9629358197136
Ethiopia,9.03333333333333,38.7,1127127.0,Addis Ababa,Birr,am,88013491.0,121.5,38.706611243042644
Falkland Islands,-51.7,-57.85,12173.0,Stanley,Pound,en,2638.0,67.86111111111111,0.0
Faroe Islands,62.0,-6.766667,1399.0,Torshavn,Krone,fo,48228.0,96.24074055555555,77.87996816351877
Fiji,-18.1333333333333,178.416667,18270.0,Suva,Dollar,en,875983.0,199.12037055555555,23.420583753959768
Finland,60.1666666666667,24.933332999999998,337030.0,Helsinki,Euro,fi,5244000.0,113.85185166666668,75.77289695814221
France,48.866666666666696,2.333333,547030.0,Paris,Euro,fr,64768389.0,101.29629611111112,64.86999191867771
French Polynesia,-17.533333333333303,-149.566667,4167.0,Papeete,Franc,fr,270485.0,16.907407222222226,23.770743622256134
Gabon,0.38333333333333297,9.45,267667.0,Libreville,Franc,fr,1545255.0,105.25,33.88013614890406
Georgia,41.683333333333294,44.833333,69700.0,Tbilisi,Lari,ka,4630000.0,124.90740722222223,59.187618671390176
Germany,52.5166666666667,13.4,357021.0,Berlin,Euro,de,81802257.0,107.44444444444446,68.07309616700599
Ghana,5.55,-0.216667,239460.0,Accra,Cedi,en,24339838.0,99.87962944444445,36.755338080313464
Gibraltar,36.1333333333333,-5.35,6.5,Gibraltar,Pound,en,27884.0,97.02777777777779,55.221664814875865
Greece,37.9833333333333,23.733333,131940.0,Athens,Euro,el,11000000.0,113.185185,56.509690542188025
Greenland,64.1833333333333,-51.75,2166086.0,Nuuk,Krone,kl,56375.0,71.25,80.56159052882673
Grenada,12.05,-61.75,344.0,St. George's,Dollar,en,107818.0,65.69444444444444,40.411519424989784
Guam,13.466666666666699,144.73333300000002,549.0,Hagatna,Dollar,en,159358.0,180.40740722222225,41.21850281653531
Guatemala,14.6166666666667,-90.516667,108890.0,Guatemala City,Quetzal,es,13550440.0,49.71296277777778,41.87708243406208
Guernsey,49.45,-2.5333330000000003,78.0,St Peter Port,Pound,en,65228.0,98.59259277777778,65.3655479187164
Guinea,9.5,-13.7,245857.0,Conakry,Franc,fr,10324025.0,92.3888888888889,38.9692994520374
Guinea-Bissau,11.85,-15.583332999999998,36120.0,Bissau,Franc,pt,1565126.0,91.34259277777778,40.29794698609396
Guyana,6.8,-58.15,214970.0,Georgetown,Dollar,en,748486.0,67.69444444444444,37.45384938728147
Haiti,18.533333333333303,-72.333333,27750.0,Port-au-Prince,Gourde,ht,9648924.0,59.814815,44.147864781189114
Honduras,14.1,-87.216667,112090.0,Tegucigalpa,Lempira,es,7989415.0,51.54629611111111,41.58078921000513
Hungary,47.5,19.083333,93030.0,Budapest,Forint,hu,9982000.0,110.60185166666668,63.73114969421965
Iceland,64.15,-21.95,103000.0,Reykjavik,Krona,is,308910.0,87.80555555555557,80.51909295774627
India,28.6,77.2,3287590.0,New Delhi,Rupee,en,1173108018.0,142.88888888888889,50.26021691977478
Indonesia,-6.16666666666667,106.816667,1919440.0,Jakarta,Rupiah,id,242968342.0,159.34259277777778,30.234612174384324
Iran,35.7,51.416667,1648000.0,Tehran,Rial,fa,76923300.0,128.564815,54.924405244574075
Iraq,33.3333333333333,44.4,437072.0,Baghdad,Dinar,ar,29671605.0,124.66666666666667,53.32846062912725
Ireland,53.3166666666667,-6.233333,70280.0,Dublin,Euro,en,4622917.0,96.53703722222224,68.81020797322982
Isle of Man,54.15,-4.483333,572.0,Douglas,Pound,en,75049.0,97.50925944444445,69.59287510114666
Israel,31.766666666666698,35.233333,20770.0,Jerusalem,Shekel,he,7353985.0,119.5740738888889,52.29583918388129
Italy,41.9,12.483333,301230.0,Rome,Euro,it,60340328.0,106.935185,59.34906572913934
Jamaica,18.0,-76.8,10991.0,Kingston,Dollar,en,2847232.0,57.333333333333336,43.835843818737466
Japan,35.683333333333294,139.75,377835.0,Tokyo,Yen,ja,127288000.0,177.63888888888889,54.91300458009485
Jersey,49.1833333333333,-2.1,116.0,Saint Helier,Pound,en,90812.0,98.83333333333334,65.13828349310825
Jordan,31.95,35.933333000000005,92300.0,Amman,Dinar,ar,6407085.0,119.96296277777779,52.41575587173054
Kazakhstan,51.1666666666667,71.416667,2717300.0,Astana,Tenge,kk,15340000.0,139.67592611111112,66.85906418490552
Kenya,-1.28333333333333,36.816666999999995,582650.0,Nairobi,Shilling,en,40046566.0,120.4537038888889,32.95414901255682
Kiribati,-0.883333333333333,169.533333,811.0,Tarawa,Dollar,en,92533.0,194.185185,33.17641141487448
North Korea,39.0166666666667,125.75,120540.0,Pyongyang,Won,ko,22912177.0,169.86111111111111,57.24325266479368
South Korea,37.55,126.983333,98480.0,Seoul,Won,ko,48422644.0,170.54629611111113,56.20515099093023
Kosovo,42.6666666666667,21.166667,10908.0,Pristina,Euro,sq,1800000.0,111.75925944444444,59.9247874240847
Kuwait,29.3666666666667,47.966667,17820.0,Kuwait City,Dinar,ar,2789132.0,126.64814833333334,50.74712843251595
Kyrgyzstan,42.8666666666667,74.6,198500.0,Bishkek,Som,ky,5776500.0,141.44444444444446,60.07613938801886
Laos,17.966666666666697,102.6,236800.0,Vientiane,Kip,lo,6368162.0,157.00000000000003,43.81637413509335
Latvia,56.95,24.1,64589.0,Riga,Euro,lv,2217969.0,113.38888888888889,72.34416592888769
Lebanon,33.866666666666696,35.5,10400.0,Beirut,Pound,ar,4125247.0,119.72222222222223,53.684194516017236
Lesotho,-29.3166666666667,27.483333000000002,30355.0,Maseru,Loti,en,1919552.0,115.26851833333335,16.6190804955192
Liberia,6.3,-10.8,111370.0,Monrovia,Dollar,en,3685076.0,94.0,37.17424564423399
Libya,32.883333333333304,13.166667000000002,1759540.0,Tripoli,Dinar,ar,6461454.0,107.314815,53.03000138197026
Liechtenstein,47.133333333333304,9.516667,160.0,Vaduz,Franc,de,35000.0,105.28703722222224,63.430676043185585
